k,nu,max_over_c1,mean_over_c1,ratio_to_prev
15,1,1.2906264241038432,0.9945601081984266,
15,2,1.379698312333678,0.8316640301586606,1.0690144619436894
15,3,1.3696850229783495,0.6595457777434298,0.9927424066074333
15,4,1.3999241040511505,0.5105225449798452,1.0220773977706545
15,5,1.3639721381133256,0.3890210483701871,0.9743186321074222
15,6,1.3539576629262045,0.293391547237638,0.9926578594186143
15,7,1.3192151048390308,0.2195995646985225,0.9743399967085477
15,8,1.3172677928198815,0.16272038738908617,0.9985238858985117
16,1,1.303183988777732,0.9998874120601828,
16,2,1.388769537437277,0.8327440503521722,1.0656741867583999
16,3,1.3729715869391101,0.6579442458495391,0.9886244981098022
16,4,1.4322774952555495,0.509973180578225,1.0431952917894356
16,5,1.3791386031567463,0.3881881423981713,0.9628990246130188
16,6,1.3447295105618546,0.29208399240827726,0.9750503013140726
16,7,1.3420375229310595,0.21855222478173983,0.9979981196146498
16,8,1.3194650372539576,0.16174087041229834,0.9831804362460725
17,1,1.3094770828761488,1.0021136434838211,
17,2,1.3991510584944469,0.8341844087024916,1.0684807521956299
17,3,1.3759590406218694,0.6577708930674617,0.9834242216151178
17,4,1.4420187402955968,0.5093324046518666,1.0480099317810154
17,5,1.4200212572506872,0.3876253575462837,0.9847453556391366
17,6,1.3704837577424351,0.2912523355497842,0.9651149591914125
17,7,1.347154539495201,0.21750596437667663,0.9829773843612245
17,8,1.3449312851348088,0.16096133312823682,0.9983496664300852
18,1,1.3083086208432,1.0006618699262038,
18,2,1.4009619151706496,0.8328734489284066,1.0708191422508055
18,3,1.387575281957808,0.6574883352415226,0.9904446844215526
18,4,1.4477345538010609,0.5076106689741808,1.0433556814001261
18,5,1.430443715393336,0.38584772566334646,0.9880566238041862
18,6,1.4017471847880325,0.2896112491724181,0.9799387209042246
18,7,1.3696785957544033,0.21607442143857564,0.9771224159522899
18,8,1.3376647727544486,0.1596801949448764,0.9766267625856255
19,1,1.3165942232194265,1.0039945440287819,
19,2,1.4009687324067273,0.8340547886170262,1.064085431714095
19,3,1.3868900881089463,0.6581065660963644,0.9899507790772781
19,4,1.4485283727782223,0.5081667611651004,1.0444435252640107
19,5,1.4378944331504737,0.38585310580701543,0.9926587978340023
19,6,1.4123036904548942,0.28926262716534124,0.9822026276021464
19,7,1.3991108877027432,0.21557786906065132,0.99065866439257
19,8,1.3698065506312171,0.1591144115665714,0.9790550289265191
